BlogID,BlogTitle,BlogMessage,DateAdded
29,New Site,"So I've recently had my site redesigned by&nbsp;<a href=""http://www.jonnymillerdesigner.com/"" title=""Jonny Miller Designer"" target=""_blank"">Jonny Miller</a>.<div>What do you think?</div>",2015-01-02 00:00:00 +0000
10,Recent Theatre Visit,"I went to the JournalTyne Theatre   last night (3rd May '11) to see One-Man Star Wars by Charles Ross.
It is exactly what you think it will be.
Seems he's done a LOTRs too.
It took a little to get into it but was worth it. Helps if you have seen the first three moves (IV/V/VI) but there were some very funny moments in there own right.
He came back out at the end and had a little chat with us, seems it has been touring for about 10 years after an original 25min sketch of the first film that seemed to evolve to the trilogy.

He was supported by a comedian John Cooper who has created a rather brilliant character, Danny Pensive, be sure to check out the Gateshead video from his blog.
Hilarious use of words.

Links
<a href=""http://www.thejournaltynetheatre.co.uk"" alt=""Journal Tyne Theatre"">Journal Tyne Theatre</a>
<a href=""http://www.onemanstarwars.com/"" alt=""One-Man Star Wars"">One-Man Star Wars</a>
    <a href=""http://www.onemanlotr.com/"" alt=""One Man LOTR"">One Man LOTR</a>
<a href=""http://www.johncooper.org.uk/"" alt=""John Cooper"">John Cooper</a>
<a href=""http://www.dannypensive.co.uk/"" alt=""Danny Pensive"">Danny Pensive</a>
<a href=""http://www.youtube.com/watch?v=jppUrm_crDU"" alt=""DP in Gateshead"">Danny Pensive in Gateshead</a>",2011-05-04 05:16:48 +0000
11,Ed Byrne,"Went to see Ed Byrne at the City Hall on Friday Night [27th May 2011]
It was filmed as it was his best gig of the last tour, might actually be on it, prob at the end.
Really good gig, audience participation was great.
There was a guy laughing that much, and that loud next to use it made it all the funnier.",2011-05-28 06:15:54 +0000
12,Matt Lucas Show,"Just watched the first episode of the new matt lucas awards show.
Some funny parts but just a little odd.",2012-04-14 02:09:14 +0000
13,Bowling Website,"I've created a new section on my site to document my <a href=""http://alexhedley.com/bowling/"">Bowling scores</a>.

I've started to make it look like the screens at the bowling alley, clearly not a designer :p",2013-06-16 08:46:27 +0000
14,Things to remember,"Battle Royale
Series 7
Python - Pylon
Apidya",2013-06-23 05:46:44 +0000
15,ObjC,"iPhone Game Programming Series: Blackjack – Part 1: The Deck

<a href=""http://www.icodeblog.com/2010/09/09/iphone-game-programming-series-blackjack-part-1-the-deck/"">http://www.icodeblog.com/2010/09/09/iphone-game-programming-series-blackjack-part-1-the-deck/</a>",2013-06-23 05:53:31 +0000
16,RSS - Google Reader,"So Google Reader is going on the 1st of July.

What are the alternatives?

<strong>Feedly</strong>
<a href=""http://cloud.feedly.com/"">Site</a>
This links to GR atm, other support is coming...
Free
<a href=""https://itunes.apple.com/gb/app/feedly-your-google-reader/id396069556?mt=8"">iOS App</a> (Free)


<strong>Fever</strong>
<a href=""http://www.feedafever.com/"">Site</a>
$30 (1 off payment)
iOS Apps:
<a href=""https://itunes.apple.com/gb/app/sunstroke/id488564806?mt=8"">Sunstroke</a> (£2.99)
<a href=""https://itunes.apple.com/gb/app/reeder/id325502379?mt=8"">Reeder</a> (£1.99)


<strong>Feed Wrangler</strong>
<a href=""http://feedwrangler.net/"">Site</a>
$19 a year.
<a href=""https://itunes.apple.com/gb/app/feed-wrangler/id634486174?mt=8"">iOS</a> (Free)


<strong>TT-RSS</strong>
<a href=""http://tt-rss.org/redmine/projects/tt-rss/wiki"">Site</a>
Free
Apps - Web based

<strong>feedbin</strong>
<a href=""https://feedbin.me/"">Site</a>
$2 a month
iOS:
Reeder etc support it
<a href=""https://twitter.com/feedbinapp"">Twitter</a>
API
<a href=""https://github.com/feedbin"">GitHub</a>

Still don't know what to choose, I have exported my feeds from Google, do it now too!",2013-06-25 02:23:38 +0000
17,599CD Tips,"I've added a new section for VB.NET on the <a href=""http://599cd.alexhedley.com/tips/"">Tips</a> section of 599CD on my site.<div><br></div><div>I was recently creating a few small apps for work and decided to do them in VB.NET instead of VB6.</div><div>I still like VB6, it can seem simplier to use if you just wanna create something small.</div><div><br></div><div>I also decided to do it in VS as some colleagues use C# and we could test similar methods.</div><div>It was only a simple look up to an Access db, fill in a datagrid and display some information.</div><div>I also wanted to convert some Access dbs to have VB.NET fronts so I started working with Graphs and seeing if I could replicate it here too.</div><div><br></div><div>Not sure how much more I'll be working with it going forward as I have other projects but thought I'd jot down what I've done so far so I can go back and use this as reference.</div><div><div><br></div></div>",2013-06-30 12:05:35 +0000
18,Priscilla Ahn - Stage It,"Priscilla Ahn did a <a href=""http://www.stageit.com/"" title="""" target="""">Stage It</a>&nbsp;recently but it was in the middle of the night and I was at work the next day so didn't stay up, regretted it a little but a kind person has added it on <a href=""http://www.youtube.com/watch?v=a-r8bjO62zE"" title="""" target="""">YouTube</a>.<div><br></div><div>I love the idea of Stage It.</div><div>Nick Harper (<a href=""http://www.harperspace.com/"" title="""" target="""">Website</a> |&nbsp;<a href=""http://www.stageit.com/Harperspace"" title="""" target="""">Profile</a>) has done a few, he started from his first album, so I'm hoping he'll do the rest.</div><div>The video was a little jumpy on one but considering the price is so cheap and you could still here it fine I wasn't bothered.</div>",2013-06-30 12:19:56 +0000
22,MetaX/Y and Videos,"I've got some video files I needed to add some meta data to and needed a quick and easy way to do it.<div>This is when I came across MetaX.</div><div><img src=""https://www.macupdate.com/util/iconlg/24994.png"" alt="""" align=""none""><br></div><div><b>MetaX</b></div><div><a href=""https://www.macupdate.com/app/mac/24994/metax"" title="""" target=""_blank"">https://www.macupdate.com/app/mac/24994/metax</a><br></div><div>Download:&nbsp;<a href=""https://www.macupdate.com/download/24994/MetaX-2.4.6.dmg"" title="""" target="""">https://www.macupdate.com/download/24994/MetaX-2.4.6.dmg</a></div><div><br></div><div>This is no longer actively developed.</div><div>Windows:&nbsp;http://www.danhinsley.com/metax/metax.html</div><div><br></div><div><img src=""https://www.macupdate.com/util/iconlg/36029.png"" alt="""" align=""none""></div><div><b>MetaZ</b></div><div><a href=""https://www.macupdate.com/app/mac/36029/metaz"" title="""" target=""_blank"">https://www.macupdate.com/app/mac/36029/metaz</a><br></div><div>Download:&nbsp;<a href=""https://www.macupdate.com/download/36029/MetaZ-1.0a15.zip"" title="""" target="""">https://www.macupdate.com/download/36029/MetaZ-1.0a15.zip</a></div><div><a href=""http://griff.github.io/metaz/"" title="""" target=""_blank"">http://griff.github.io/metaz/</a><br></div><div><br></div><div><br></div>",2013-12-25 02:06:04 +0000
30,Dizzy - Pebble Watchface,"Released my first Dizzy Pebble Watchface today.<div>Made it back in Dec just after I'd got the watch for Birthday.</div><div>Was fun to do, should make more.</div><div><br></div><div>Download it <a href=""https://apps.getpebble.com/applications/54ba785a05d4eef95600003e"" title=""Dizzy Pebble Watchface"" target=""_blank"">here</a>.</div>",2015-01-17 08:32:39 +0000
31,iOS Quiz App,"Making good progress on the quiz app.
Got total score saving, generatea PDF, email option.
Got the buttons to sort now.",2016-01-01 16:50:36 +0000
19,ASP API,"<div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">ASP.NET</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;""><br></span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">API</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">http://www.asp.net/web-api/overview/getting-started-with-aspnet-web-api/tutorial-your-first-web-api</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;""><br></span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">CRUD API</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">http://www.asp.net/web-api/overview/creating-web-apis/creating-a-web-api-that-supports-crud-operations</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;""><br></span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">--</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">http://scottdesapio.com/VBScriptOAuth/</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">--</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">http://www.timacheson.com/Blog/2013/jun/asptwitter</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">--</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">http://stackoverflow.com/questions/2883444/making-a-http-request-to-api-possible-with-vb-asp-classic</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;""><br></span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">Dim req</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">Set req = Server.CreateObject(""MSXML2.ServerXMLHTTP"")</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;""><br></span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">req.open ""GET"", ""http://blabla.com"", False</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">req.send()</span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;""><br></span></font></div><div><font size=""2"" face=""arial""><span style=""line-height: 24px;"">Response.Write(req.responseText)</span></font></div></div>",2013-09-02 12:20:40 +0000
20,Countdown Idea,<div>http://www.crosswordtools.com/numbers-game/</div><div><br></div><div>http://djce.org.uk/countdown</div><div><br></div><div>http://www.dilan4.com/maths/countdown.htm</div><div><br></div><div>http://www.danieltebbutt.com/countdown.html</div><div><br></div><div>T-SQL</div><div>http://developer42.wordpress.com/2013/07/28/countdown-numbers-round-solver-in-t-sql/</div><div><br></div><div>http://stackoverflow.com/questions/15293232/how-to-design-an-algorithm-to-calculate-countdown-style-maths-number-puzzle</div><div><br></div><div>http://stackoverflow.com/questions/16510634/24-game-countdown-number-game-solver-but-without-parentheses-in-the-answer</div><div><br></div><div>http://incoherency.co.uk/countdown/</div><div>&nbsp; https://github.com/jes/cntdn/</div><div><br></div><div>http://thesamovar.net/countdownnumbers</div><div><br></div><div>https://github.com/wharris/countdown</div>,2013-09-02 12:21:24 +0000
21,The Dark Side of the Half Moon,<div>Bro was in a play again at the Customs House.</div><div><br></div><div>Really funny.</div><div><br></div>Customs House - South Shields.<div>Wednesday 11th September 2013 19:30</div>,2013-09-27 05:52:45 +0000
23,Automator,"<div>I found a tweet about a Standford Mac Dev course.</div><div><br></div><div><a href=""https://twitter.com/indragie/statuses/457607755621097473"" title="""" target="""">https://twitter.com/indragie/statuses/457607755621097473</a><br></div><div><div>&lt;blockquote class=""twitter-tweet"" lang=""en""&gt;&lt;p&gt;TIL Stanford has a class on Cocoa Programming for OS X: &lt;a href=""http://t.co/TdFAUYifeX""&gt;http://t.co/TdFAUYifeX&lt;/a&gt;. Impressive.&lt;/p&gt;&amp;mdash; Indragie Karunaratne (@indragie) &lt;a href=""https://twitter.com/indragie/statuses/457607755621097473""&gt;April 19, 2014&lt;/a&gt;&lt;/blockquote&gt;</div><div>&lt;script async src=""//platform.twitter.com/widgets.js"" charset=""utf-8""&gt;&lt;/script&gt;</div></div><div><br></div><div><a href=""http://www.stanford.edu/class/cs193e/"" title="""" target="""">http://www.stanford.edu/class/cs193e/</a><br></div><div><br></div><div>Didn't want to download all the files individually so why not use automator.</div><div>I'd played about with this kind of thing before:</div><div><br></div><div><a href=""http://www.therobbiedshow.com/web-dev-notes/2011/12/14/automator-workflow-to-download-specific-files-from-url.html"" title="""" target="""">http://www.therobbiedshow.com/web-dev-notes/2011/12/14/automator-workflow-to-download-specific-files-from-url.html</a><br></div><div><ol id=""yui_3_10_1_1_1397978327178_419"" style=""margin-top: 1.3em; margin-bottom: 1.3em; padding-left: 40px; font-family: 'Open Sans'; font-size: 16px; line-height: 20.799999237060547px; color: rgb(135, 135, 135); background-color: rgb(235, 235, 235);""><li>Open Automator.</li><li>Make a new workflow.</li><li>Add these actions, in this order:<ol style=""padding-left: 40px; font-size: 16px; line-height: 1.3em; letter-spacing: 0px;""><li>Get Specific URLs</li><li>Get Link URLs from Webpages</li><li>FIlter URLs</li></ol></li><li>In the ""Get Specific URLs"" action, set your URL.</li><li>In the ""FIlter URLs"" action, add your filter(s). (e.g., Name contains .pdf)</li><li>Run, to test results.</li><li>Add the ""Download URLs"" action and choose a download folder</li></ol></div>",2014-04-20 00:57:31 +0000
24,Mac Apps,RegExRX<div>£2.99</div><div><br></div><div>http://www.mactechnologies.com/index.php?page=home</div><div>19/07/2014</div>,2014-07-19 06:58:53 +0000
25,Safari JSON Viewer,Starting to use Safari more and need some extensions I'm used to in Chrome.<div><br></div><div>One handy one is a JSON Viewer:&nbsp;https://github.com/rfletcher/safari-json-formatter</div>,2014-09-13 06:03:02 +0000
26,TuneFind,"I always here songs and TV shows and for one reason or another can't shazam it, sometimes find them online.<div>Recently was watching Criminal Mind: Suspect Behaviour and there was a song I liked so I googled it.</div><div>Came across '<a href=""http://www.tunefind.com/"">http://www.tunefind.com/</a>' and it found the song.</div><div><a href=""http://www.tunefind.com/show/criminal-minds-suspect-behavior/season-1/7433#songs"">http://www.tunefind.com/show/criminal-minds-suspect-behavior/season-1/7433#songs</a><br></div><div>1 for 1 so hopefully I continue getting matches.</div><div>Just got to remember to use this site!</div>",2014-09-13 12:48:24 +0000
27,JointJS,"<div>When writing glossary items for http://www.599cd.com I've been producing my own Function Engine as a image (in word, cough) and loading it.</div><div><br></div><div>I saw a website called http://www.explainshell.com/ that linked keywords to a function and wanted to do something similar.</div><div>The code was complex and above my understanding to implement myself, I'm wanting to use my time for others things but j thought there must be another solution out there.</div><div><br></div><div>There was a sitepoint article I came across () with the following site:</div><div><br></div>http://www.jointjs.com/demos/erd<br><div><br></div><div>Now I just need to amend the code to allow for resizing of a box and colouring and it should suite my needs.</div>",2014-10-18 13:15:17 +0000
